,city_name,lat,lon,boundingbox
0,Mont Saint-Michel,48.6359541,-1.511459954959514,"['48.6349172', '48.637031', '-1.5133292', '-1.5094796']"
1,Saint-Malo,48.649518,-2.0260409,"['48.5979853', '48.6949736', '-2.0765246', '-1.9367259']"
2,Bayeux,49.2764624,-0.7024738,"['49.2608124', '49.2934736', '-0.7275671', '-0.6757378']"
3,Le Havre,49.4938975,0.1079732,"['49.4516697', '49.5401463', '0.0667992', '0.1955556']"
4,Rouen,49.4404591,1.0939658,"['49.2804591', '49.6004591', '0.9339658', '1.2539658']"
5,Paris,48.8588897,2.3200410217200766,"['48.8155755', '48.902156', '2.224122', '2.4697602']"
6,Amiens,49.8941708,2.2956951,"['49.7341708', '50.0541708', '2.1356951', '2.4556951']"
7,Lille,50.6365654,3.0635282,"['50.4765654', '50.7965654', '2.9035282', '3.2235282']"
8,Strasbourg,48.584614,7.7507127,"['48.424614', '48.744614', '7.5907127', '7.9107127']"
9,Château du Haut-Kœnigsbourg,48.2495226,7.3454923,"['48.2494726', '48.2495726', '7.3454423', '7.3455423']"
10,Colmar,48.0777517,7.3579641,"['48.0407053', '48.182062', '7.3154803', '7.469167']"
11,Eguisheim,48.0447968,7.3079618,"['48.0240327', '48.0515072', '7.2412792', '7.351854']"
12,Besançon,47.2380222,6.0243622,"['47.2006872', '47.3200746', '5.9409668', '6.0835059']"
13,Dijon,47.3215806,5.0414701,"['47.2862467', '47.377486', '4.9624434', '5.1020598']"
14,Annecy,45.8992348,6.1288847,"['45.8280024', '45.9766928', '6.0484121', '6.2043932']"
15,Grenoble,45.1875602,5.7357819,"['45.1541442', '45.2140762', '5.6776059', '5.7531176']"
16,Lyon,45.7578137,4.8320114,"['45.7073666', '45.8082628', '4.7718134', '4.8983774']"
17,Gorges du Verdon,43.7496562,6.3285616,"['43.7496062', '43.7497062', '6.3285116', '6.3286116']"
18,Bormes-les-Mimosas,43.1572172,6.329253867921363,"['43.0864271', '43.2278201', '6.2716142', '6.4514893']"
19,Cassis,43.2140359,5.5396318,"['43.1884732', '43.2487231', '5.5063193', '5.5945199']"
20,Marseille,43.2961743,5.3699525,"['43.1696228', '43.3910329', '5.2286312', '5.5324758']"
21,Aix-en-Provence,43.5298424,5.4474738,"['43.3698424', '43.6898424', '5.2874738', '5.6074738']"
22,Avignon,43.9492493,4.8059012,"['43.7892493', '44.1092493', '4.6459012', '4.9659012']"
23,Uzès,44.0121279,4.4196718,"['43.9811093', '44.0765914', '4.3852299', '4.4467859']"
24,Nîmes,43.8374249,4.3600687,"['43.7412659', '43.9230177', '4.2356708', '4.4496605']"
25,Aigues-Mortes,43.5658225,4.1912837,"['43.4958113', '43.5920372', '4.0760703', '4.2442867']"
26,Saintes-Maries-de-la-Mer,43.4522771,4.4287172,"['43.4062445', '43.5858463', '4.2301364', '4.6444785']"
27,Collioure,42.52505,3.0831554,"['42.4832453', '42.5341084', '3.0495074', '3.0994238']"
28,Carcassonne,43.2130358,2.3491069,"['43.1713069', '43.2443707', '2.2615684', '2.4362676']"
29,Château de Foix,42.9657002,1.6047597,"['42.9656502', '42.9657502', '1.6047097', '1.6048097']"
30,Toulouse,43.6044622,1.4442469,"['43.4444622', '43.7644622', '1.2842469', '1.6042469']"
31,Montauban,44.0175835,1.3549991,"['43.9512579', '44.0922122', '1.2865419', '1.4427914']"
32,Biarritz,43.4832523,-1.5592776,"['43.4475698', '43.4945381', '-1.5773906', '-1.5343915']"
33,Bayonne,43.4933379,-1.475099,"['43.4498733', '43.5188846', '-1.5048438', '-1.417261']"
34,La Rochelle,46.1591126,-1.1520434,"['46.1331804', '46.1908971', '-1.2419231', '-1.111097']"
